id,name,nameordered,date,pitcher,team,inning,ab,stolenbasepitchatbat,stolenbasepitchoverall,pitch_number,pitch_type,pitch_name,description,type_,release_pos_x,release_pos_y,release_pos_z,zone_,plate_x,plate_z,balls,strikes
schem001,Max Scherzer,"Scherzer, Max",2009-04-14,schem001,ARI,5,38,6,82,7,CH,Changeup,hit_into_play,X,-2.88,-2.88,5.53,5,-0.07,2.67,3,2
schem001,Max Scherzer,"Scherzer, Max",2009-09-25,schem001,ARI,5,36,6,99,7,CH,Changeup,hit_into_play,X,-2.86,-2.86,5.55,4,-0.41,2.36,3,2
schem001,Max Scherzer,"Scherzer, Max",2010-06-15,schem001,DET,1,3,1,9,2,CH,Changeup,hit_into_play,X,-3.15,-3.15,5.72,4,-0.66,2.2,0,1
schem001,Max Scherzer,"Scherzer, Max",2010-08-05,schem001,DET,3,23,3,42,4,CH,Changeup,hit_into_play,X,-3.02,-3.02,5.53,14,0.39,1.14,1,2
schem001,Max Scherzer,"Scherzer, Max",2010-08-21,schem001,DET,1,4,4,20,5,CH,Changeup,hit_into_play,X,-3.14,-3.14,5.7,7,-0.4,1.98,1,2
schem001,Max Scherzer,"Scherzer, Max",2011-05-26,schem001,DET,2,12,5,39,6,CH,Changeup,swinging_strike,S,-3.19,-3.19,5.45,7,-0.46,2.23,3,2
schem001,Max Scherzer,"Scherzer, Max",2011-05-31,schem001,DET,6,50,2,81,3,CH,Changeup,swinging_strike_blocked,S,-3.35,-3.35,5.27,13,-0.82,0.78,1,1
schem001,Max Scherzer,"Scherzer, Max",2013-06-06,schem001,DET,6,45,3,79,4,CH,Changeup,swinging_strike,S,-3.16,-3.16,5.18,7,-0.77,1.54,1,2
schem001,Max Scherzer,"Scherzer, Max",2013-08-03,schem001,DET,3,22,5,51,6,CH,Changeup,blocked_ball,B,-3.21,-3.21,4.85,13,-1.18,0.24,2,2
schem001,Max Scherzer,"Scherzer, Max",2015-07-07,schem001,WAS,5,34,5,70,6,CH,Changeup,hit_by_pitch,B,-3.1,-3.1,5.33,11,-1.49,4.51,3,2
schem001,Max Scherzer,"Scherzer, Max",2017-04-28,schem001,WAS,1,4,2,14,3,CH,Changeup,foul,S,-3.53,-3.53,5.34,7,-0.61,1.81,1,1
schem001,Max Scherzer,"Scherzer, Max",2019-06-14,schem001,WAS,5,37,3,74,4,CH,Changeup,hit_into_play,X,-3.65,-3.65,5.02,14,0.38,1.19,1,2
schem001,Max Scherzer,"Scherzer, Max",2019-08-28,schem001,WAS,3,23,4,45,5,CH,Changeup,hit_into_play,X,-3.57,-3.57,5.23,13,-1.23,2.38,2,2
schem001,Max Scherzer,"Scherzer, Max",2009-06-28,schem001,ARI,4,30,4,71,5,FF,4-Seam Fastball,foul,S,-2.75,-2.75,5.36,5,-0.15,2.06,2,2
schem001,Max Scherzer,"Scherzer, Max",2009-07-26,schem001,ARI,1,4,3,17,4,FF,4-Seam Fastball,hit_into_play,X,-2.75,-2.75,5.3,6,0.45,2.38,1,2
